"","tau= 0.25","tau= 0.50","tau= 0.75","V4"
"timedummy2000 Q2",61.0004715129485,67.8705610140802,91.2467208524086,"2000 Q2"
"timedummy2000 Q3",84.8789042500059,83.9631762624206,98.3378966796779,"2000 Q3"
"timedummy2000 Q4",86.0048215242216,85.7588550456128,100.236311111293,"2000 Q4"
"timedummy2001 Q1",69.8068399035946,69.6658021117051,98.9783720295952,"2001 Q1"
"timedummy2001 Q2",81.615684599217,65.094247969517,80.5328241550496,"2001 Q2"
"timedummy2001 Q3",52.8550009694774,56.6899044202987,72.3112481540351,"2001 Q3"
"timedummy2001 Q4",69.4105352966863,64.3674866872108,87.1106645939683,"2001 Q4"
"timedummy2002 Q1",58.9195146546125,62.1273312996903,82.0909622000011,"2002 Q1"
"timedummy2002 Q2",92.0059586966293,82.914485811348,100.392718916441,"2002 Q2"
"timedummy2002 Q3",98.0896580295206,83.2642003228536,90.7583510488645,"2002 Q3"
"timedummy2002 Q4",83.1073333244885,81.5870757674045,102.969696436258,"2002 Q4"
"timedummy2003 Q1",108.925781017451,89.6626743353449,99.9886188767937,"2003 Q1"
"timedummy2003 Q2",77.963251209785,80.0726360905469,92.3272022705758,"2003 Q2"
"timedummy2003 Q3",72.1974572288711,63.1439533815458,81.3649072597038,"2003 Q3"
"timedummy2003 Q4",88.0184389034578,83.3714628850349,97.3526452426514,"2003 Q4"
"timedummy2004 Q1",114.447840739274,103.557957914613,110.886692793732,"2004 Q1"
"timedummy2004 Q2",111.305650988174,97.3827984591589,110.370111960264,"2004 Q2"
"timedummy2004 Q3",100.000924087195,80.7261107699925,106.206127840732,"2004 Q3"
"timedummy2004 Q4",113.262462313056,109.869185740106,118.245225874098,"2004 Q4"
"timedummy2005 Q1",134.014876498595,117.47109823379,120.104362553919,"2005 Q1"
"timedummy2005 Q2",117.745271104843,112.328371477284,114.755759780932,"2005 Q2"
"timedummy2005 Q3",139.415901881009,124.544099942615,131.66378938465,"2005 Q3"
"timedummy2005 Q4",128.162212129831,115.139453799961,123.538518826024,"2005 Q4"
"timedummy2006 Q1",187.265239114007,153.803296002224,165.881860060598,"2006 Q1"
"timedummy2006 Q2",172.078187320919,155.573373664658,167.028506475186,"2006 Q2"
"timedummy2006 Q3",192.077329640046,164.384922369536,164.571448596587,"2006 Q3"
"timedummy2006 Q4",174.591092130325,153.70122143332,175.090141076243,"2006 Q4"
"timedummy2007 Q1",230.079224940048,190.38993349041,213.424693560561,"2007 Q1"
"timedummy2007 Q2",220.389329519366,201.994462067295,229.868282203293,"2007 Q2"
"timedummy2007 Q3",234.40928474579,197.725602617628,232.478470936443,"2007 Q3"
"timedummy2007 Q4",252.533876285402,229.542547324623,256.747616310183,"2007 Q4"
"timedummy2008 Q1",276.796261212227,251.883419308083,285.965678401044,"2008 Q1"
"timedummy2008 Q2",267.751439496711,232.116494457561,251.174898515653,"2008 Q2"
"timedummy2008 Q3",274.530926499693,234.908220276879,258.425219392143,"2008 Q3"
"timedummy2008 Q4",232.144524511004,200.363465107045,250.355509529417,"2008 Q4"
"timedummy2009 Q1",239.438512952496,204.81667459636,224.593766796623,"2009 Q1"
"timedummy2009 Q2",265.895999709646,216.104723548925,228.367758416627,"2009 Q2"
"timedummy2009 Q3",203.93454184536,173.424685573828,193.871282942984,"2009 Q3"
"timedummy2009 Q4",223.151307133496,188.242987399256,205.915363428709,"2009 Q4"
"timedummy2010 Q1",234.410475184939,192.610076855382,204.310576921803,"2010 Q1"
"timedummy2010 Q2",224.324069105495,186.041614457538,205.349775962382,"2010 Q2"
"timedummy2010 Q3",239.092221335871,196.348898682296,214.742482537587,"2010 Q3"
"timedummy2010 Q4",210.274886836386,179.882236449151,202.952882476428,"2010 Q4"
"timedummy2011 Q1",208.972866698077,171.793271685237,186.073453987048,"2011 Q1"
"timedummy2011 Q2",229.987760140993,184.145016139839,196.620529173658,"2011 Q2"
"timedummy2011 Q3",214.982638734387,168.659233872462,180.670720974472,"2011 Q3"
"timedummy2011 Q4",196.513186012902,166.902700149604,180.596367818472,"2011 Q4"
"timedummy2012 Q1",194.893252835261,164.42371798389,176.086300173265,"2012 Q1"
"timedummy2012 Q2",208.984199282324,174.07805176238,186.066890714967,"2012 Q2"
"timedummy2012 Q3",209.982347509109,176.496096258332,182.960268769052,"2012 Q3"
"timedummy2012 Q4",212.25188173883,175.650904746082,193.258497817294,"2012 Q4"
"timedummy2013 Q1",214.145349055411,173.246305095228,189.162032449451,"2013 Q1"
"timedummy2013 Q2",229.988012387448,188.033300601322,199.2770844046,"2013 Q2"
"timedummy2013 Q3",221.667300132347,177.328646195552,190.912713664061,"2013 Q3"
"timedummy2013 Q4",235.062882054308,183.701911747127,190.33263384508,"2013 Q4"
"timedummy2014 Q1",237.535214655201,192.837549535464,211.32123860949,"2014 Q1"
"timedummy2014 Q2",236.618801646619,179.65708745601,199.207187017869,"2014 Q2"
"timedummy2014 Q3",224.118897522133,180.331740849502,200.720175855097,"2014 Q3"
"timedummy2014 Q4",224.824927708656,182.962203585776,208.747317931145,"2014 Q4"
"timedummy2015 Q1",234.962090827863,189.142367879479,205.055186844925,"2015 Q1"
"timedummy2015 Q2",231.732695426572,175.416856033799,193.84261653651,"2015 Q2"
"timedummy2015 Q3",233.443305267527,178.469592082918,196.583978396428,"2015 Q3"
"timedummy2015 Q4",220.059998958902,177.124546572841,193.880134267201,"2015 Q4"
